Main	Probabilité de gagner vs 2
22	0.3133
32o	0.2047
32s	0.2319
33	0.3280
42o	0.1992
42s	0.2494
43o	0.2274
43s	0.2604
44	0.3709
52o	0.2181
52s	0.2615
53o	0.2347
53s	0.2725
54o	0.2651
54s	0.2901
55	0.4042
62o	0.2027
62s	0.2434
63o	0.2294
63s	0.2691
64o	0.2463
64s	0.2868
65o	0.2637
65s	0.3075
66	0.4303
72o	0.2002
72s	0.2552
73o	0.2291
73s	0.2679
74o	0.2518
74s	0.2840
75o	0.2694
75s	0.3076
76o	0.2880
76s	0.3127
77	0.4688
82o	0.2227
82s	0.2603
83o	0.2267
83s	0.2666
84o	0.2416
84s	0.2818
85o	0.2595
85s	0.3023
86o	0.2792
86s	0.3197
87o	0.3064
87s	0.3324
88	0.5033
92o	0.2350
92s	0.2732
93o	0.2431
93s	0.2684
94o	0.2526
94s	0.2838
95o	0.2702
95s	0.3021
96o	0.2943
96s	0.3242
97o	0.3004
97s	0.3516
98o	0.3273
98s	0.3614
99	0.5363
A2o	0.3597
A2s	0.3791
A3o	0.3618
A3s	0.4056
A4o	0.3772
A4s	0.4169
A5o	0.3814
A5s	0.4187
A6o	0.3775
A6s	0.4113
A7o	0.3867
A7s	0.4225
A8o	0.4064
A8s	0.4306
A9o	0.4212
A9s	0.4397
AA	0.7354
AJo	0.4533
AJs	0.4771
AKo	0.4823
AKs	0.5101
AQo	0.4661
AQs	0.5022
ATo	0.4385
ATs	0.4690
J2o	0.2653
J2s	0.3014
J3o	0.2776
J3s	0.3167
J4o	0.2840
J4s	0.3266
J5o	0.2911
J5s	0.3206
J6o	0.3045
J6s	0.3348
J7o	0.3195
J7s	0.3656
J8o	0.3425
J8s	0.3775
J9o	0.3622
J9s	0.3994
JJ	0.6092
JTo	0.3864
JTs	0.4184
K2o	0.3097
K2s	0.3508
K3o	0.3125
K3s	0.3612
K4o	0.3338
K4s	0.3672
K5o	0.3362
K5s	0.3709
K6o	0.3484
K6s	0.3844
K7o	0.3591
K7s	0.4012
K8o	0.3684
K8s	0.4025
K9o	0.3875
K9s	0.4196
KJo	0.4265
KJs	0.4510
KK	0.6850
KQo	0.4512
KQs	0.4672
KTo	0.4215
KTs	0.4579
Q2o	0.2957
Q2s	0.3312
Q3o	0.3054
Q3s	0.3362
Q4o	0.3083
Q4s	0.3426
Q5o	0.3156
Q5s	0.3598
Q6o	0.3300
Q6s	0.3618
Q7o	0.3223
Q7s	0.3576
Q8o	0.3490
Q8s	0.3837
Q9o	0.3837
Q9s	0.4141
QJo	0.4113
QJs	0.4488
QQ	0.6532
QTo	0.3986
QTs	0.4327
T2o	0.2485
T2s	0.2891
T3o	0.2622
T3s	0.2949
T4o	0.2588
T4s	0.3064
T5o	0.2748
T5s	0.3115
T6o	0.2856
T6s	0.3268
T7o	0.3194
T7s	0.3527
T8o	0.3278
T8s	0.3692
T9o	0.3586
T9s	0.3895
TT	0.5779
